pair_id,pair_type,comparison_focus,researcher_a_name,researcher_a_h_index,researcher_a_h_rank,researcher_a_composite_rank,researcher_a_composite_score,researcher_b_name,researcher_b_h_index,researcher_b_h_rank,researcher_b_composite_rank,researcher_b_composite_score,h_rank_difference,composite_rank_difference,dramatic_difference,question_context
16,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",C. Bearden,79,28,439,5.481310000000001e-18,Soujanya Poria,71,34,977,1.555e-19,6,538,538,Both researchers have similar citation impact (H-index ranks #28 vs #34). Who would you rank higher for overall research excellence?
17,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Yiming Yang,67,39,123,8.71524e-18,Zhiyong Lu,75,29,915,6.647400000000001e-19,10,792,792,Both researchers have similar citation impact (H-index ranks #39 vs #29). Who would you rank higher for overall research excellence?
18,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Hannaneh Hajishirzi,74,30,471,5.12246e-18,Michael D. Ernst,71,34,970,2.1044000000000002e-19,4,499,499,Both researchers have similar citation impact (H-index ranks #30 vs #34). Who would you rank higher for overall research excellence?
19,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Ting Liu,73,33,291,6.82847e-18,Julia Hirschberg,70,36,876,1.02874e-18,3,585,585,Both researchers have similar citation impact (H-index ranks #33 vs #36). Who would you rank higher for overall research excellence?
20,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Richard G. Netemeyer,64,44,90,9.092670000000002e-18,P. Bourne,70,36,485,4.94752e-18,8,395,395,Both researchers have similar citation impact (H-index ranks #44 vs #36). Who would you rank higher for overall research excellence?
21,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Hinrich Schütze,67,39,319,6.601200000000001e-18,J. Pustejovsky,64,44,847,1.34563e-18,5,528,528,Both researchers have similar citation impact (H-index ranks #39 vs #44). Who would you rank higher for overall research excellence?
22,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",G. Clifford,66,43,92,9.08574e-18,Sebastian Riedel,67,39,559,4.1905e-18,4,467,467,Both researchers have similar citation impact (H-index ranks #43 vs #39). Who would you rank higher for overall research excellence?
23,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",J. Dudley,67,39,155,8.31992e-18,Martha Palmer,63,48,605,3.62204e-18,9,450,450,Both researchers have similar citation impact (H-index ranks #39 vs #48). Who would you rank higher for overall research excellence?
24,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",A. Bulling,59,53,18,9.801370000000002e-18,Xuanjing Huang,64,44,580,3.8838400000000006e-18,9,562,562,Both researchers have similar citation impact (H-index ranks #53 vs #44). Who would you rank higher for overall research excellence?
25,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Walter Daelemans,64,44,436,5.5365900000000005e-18,Nizar Habash,60,50,853,1.28186e-18,6,417,417,Both researchers have similar citation impact (H-index ranks #44 vs #50). Who would you rank higher for overall research excellence?
26,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Harold Soh,25,266,48,9.53692e-18,Simon Brandeis,2,903,53,9.472030000000001e-18,637,5,637,Both researchers have similar multi-dimensional scores (composite ranks #48 vs #53). Who has greater citation impact and influence?
27,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Hefu Liu,41,124,59,9.386530000000001e-18,Akshay Kulkarni,6,704,51,9.48368e-18,580,8,580,Both researchers have similar multi-dimensional scores (composite ranks #59 vs #51). Who has greater citation impact and influence?
28,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Nasser Zalmout,16,418,52,9.47649e-18,Gwendolyn Halford,3,852,56,9.420110000000001e-18,434,4,434,Both researchers have similar multi-dimensional scores (composite ranks #52 vs #56). Who has greater citation impact and influence?
29,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Chris S. Hulleman,33,182,55,9.43274e-18,Gongcheng Wang,2,903,65,9.312240000000001e-18,721,10,721,Both researchers have similar multi-dimensional scores (composite ranks #55 vs #65). Who has greater citation impact and influence?
30,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Eugenio Martínez-Cámara,28,232,57,9.410770000000002e-18,Clement Delangue,6,704,63,9.36093e-18,472,6,472,Both researchers have similar multi-dimensional scores (composite ranks #57 vs #63). Who has greater citation impact and influence?
31,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",V.G.Vinod Vydiswaran,22,306,58,9.389070000000001e-18,Michael Hassid,7,669,67,9.273190000000001e-18,363,9,363,Both researchers have similar multi-dimensional scores (composite ranks #58 vs #67). Who has greater citation impact and influence?
32,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",L. Briand,86,23,70,9.25897e-18,Xiaojie Guo,17,405,60,9.375780000000001e-18,382,10,382,Both researchers have similar multi-dimensional scores (composite ranks #70 vs #60). Who has greater citation impact and influence?
33,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Mikhail Galkin,21,321,61,9.37111e-18,Chi-Min Chan,8,635,62,9.365050000000001e-18,314,1,314,Both researchers have similar multi-dimensional scores (composite ranks #61 vs #62). Who has greater citation impact and influence?
34,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Yoav Goldberg,42,119,64,9.34703e-18,Binggui Zhou,6,704,72,9.24823e-18,585,8,585,Both researchers have similar multi-dimensional scores (composite ranks #64 vs #72). Who has greater citation impact and influence?
35,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",A. Callahan,24,281,69,9.261970000000001e-18,Xiaoyu Li,9,599,66,9.274380000000001e-18,318,3,318,Both researchers have similar multi-dimensional scores (composite ranks #69 vs #66). Who has greater citation impact and influence?
36,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Xiuying Chen,16,418,68,9.26635e-18,Ray Oshikawa,1,945,77,9.22804e-18,527,9,527,Both researchers have similar multi-dimensional scores (composite ranks #68 vs #77). Who has greater citation impact and influence?
37,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Abhik Jana,9,599,71,9.25685e-18,Elizabeth Scruggs,2,903,75,9.24129e-18,304,4,304,Both researchers have similar multi-dimensional scores (composite ranks #71 vs #75). Who has greater citation impact and influence?
38,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Jannik Strotgen,22,306,73,9.24307e-18,Suraj Patil,2,903,79,9.213310000000001e-18,597,6,597,Both researchers have similar multi-dimensional scores (composite ranks #73 vs #79). Who has greater citation impact and influence?
39,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Jie Fu,20,350,74,9.242030000000001e-18,Fadhl Eryani,6,704,80,9.17632e-18,354,6,354,Both researchers have similar multi-dimensional scores (composite ranks #74 vs #80). Who has greater citation impact and influence?
40,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Sebastian Ruder,52,85,85,9.125630000000001e-18,Vera Sorin,12,509,76,9.230530000000001e-18,424,9,424,Both researchers have similar multi-dimensional scores (composite ranks #85 vs #76). Who has greater citation impact and influence?
41,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Zijie J. Wang,18,385,78,9.22345e-18,Meng Wang,1,945,87,9.117330000000001e-18,560,9,560,Both researchers have similar multi-dimensional scores (composite ranks #78 vs #87). Who has greater citation impact and influence?
42,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Richard G. Netemeyer,64,44,90,9.092670000000002e-18,Ana Marasović,16,418,81,9.1517e-18,374,9,374,Both researchers have similar multi-dimensional scores (composite ranks #90 vs #81). Who has greater citation impact and influence?
43,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",G. Clifford,66,43,92,9.08574e-18,Thomas Wolf,7,669,82,9.14516e-18,626,10,626,Both researchers have similar multi-dimensional scores (composite ranks #92 vs #82). Who has greater citation impact and influence?
44,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",L. Hunter,41,124,89,9.10994e-18,Ekta Sood,7,669,83,9.138720000000002e-18,545,6,545,Both researchers have similar multi-dimensional scores (composite ranks #89 vs #83). Who has greater citation impact and influence?
45,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Xiaodong Liu,37,150,86,9.12327e-18,Adarsha Shivananda,6,704,84,9.13736e-18,554,2,554,Both researchers have similar multi-dimensional scores (composite ranks #86 vs #84). Who has greater citation impact and influence?
46,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Yann LeCun,132,5,95,9.03813e-18,Amit Moryossef,12,509,88,9.11256e-18,504,7,504,Both researchers have similar multi-dimensional scores (composite ranks #95 vs #88). Who has greater citation impact and influence?
47,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Batya Friedman,48,94,96,9.0296e-18,D. Summers-Stay,10,570,91,9.08637e-18,476,5,476,Both researchers have similar multi-dimensional scores (composite ranks #96 vs #91). Who has greater citation impact and influence?
48,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Michael Yeomans,13,473,93,9.074430000000001e-18,H. Khan,1,945,99,8.99461e-18,472,6,472,Both researchers have similar multi-dimensional scores (composite ranks #93 vs #99). Who has greater citation impact and influence?
49,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Hongfang Liu,52,85,103,8.957300000000001e-18,Jessica Pan,2,903,94,9.04812e-18,818,9,818,Both researchers have similar multi-dimensional scores (composite ranks #103 vs #94). Who has greater citation impact and influence?
50,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Dragomir R. Radev,80,26,105,8.94942e-18,Palash Goyal,15,437,97,9.01896e-18,411,8,411,Both researchers have similar multi-dimensional scores (composite ranks #105 vs #97). Who has greater citation impact and influence?
