pair_id,pair_type,comparison_focus,researcher_a_name,researcher_a_h_index,researcher_a_h_rank,researcher_a_composite_rank,researcher_a_composite_score,researcher_b_name,researcher_b_h_index,researcher_b_h_rank,researcher_b_composite_rank,researcher_b_composite_score,h_rank_difference,composite_rank_difference,dramatic_difference,question_context
12,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Yiyun Zhou,1,945,1,0.0,Mrs . Indu,1,945,984,,0,983,983,Both researchers have similar citation impact (H-index ranks #945 vs #945). Who would you rank higher for overall research excellence?
13,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Aditya Koli,1,945,1,0.0,Hussein Sharif,1,945,984,,0,983,983,Both researchers have similar citation impact (H-index ranks #945 vs #945). Who would you rank higher for overall research excellence?
14,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",A. Sharma,1,945,1,0.0,Ms. Aswathy,1,945,984,,0,983,983,Both researchers have similar citation impact (H-index ranks #945 vs #945). Who would you rank higher for overall research excellence?
15,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Ray Oshikawa,1,945,1,0.0,S. Nair,1,945,984,,0,983,983,Both researchers have similar citation impact (H-index ranks #945 vs #945). Who would you rank higher for overall research excellence?
16,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Th'eo Matussiere,1,945,1,0.0,Tatjana Schindler,1,945,984,,0,983,983,Both researchers have similar citation impact (H-index ranks #945 vs #945). Who would you rank higher for overall research excellence?
17,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Yu,1,945,1,0.0,†. AlessioFerrari,1,945,984,,0,983,983,Both researchers have similar citation impact (H-index ranks #945 vs #945). Who would you rank higher for overall research excellence?
18,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Shaoxiong Ji,22,306,1,0.0,Yu,1,945,1,0.0,639,0,639,Both researchers have similar multi-dimensional scores (composite ranks #1 vs #1). Who has greater citation impact and influence?
19,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Geoffrey E. Hinton,159,1,1,0.0,Jan A. Botha,11,542,1,0.0,541,0,541,Both researchers have similar multi-dimensional scores (composite ranks #1 vs #1). Who has greater citation impact and influence?
20,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Ge Zhang,24,281,1,0.0,Daniel Duma,1,945,1,0.0,664,0,664,Both researchers have similar multi-dimensional scores (composite ranks #1 vs #1). Who has greater citation impact and influence?
21,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",G. Ceder,153,2,1,0.0,Mai Oudah,10,570,1,0.0,568,0,568,Both researchers have similar multi-dimensional scores (composite ranks #1 vs #1). Who has greater citation impact and influence?
22,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Evgeny Burnaev,33,182,1,0.0,Th'eo Matussiere,1,945,1,0.0,763,0,763,Both researchers have similar multi-dimensional scores (composite ranks #1 vs #1). Who has greater citation impact and influence?
23,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Christopher D. Manning,144,3,1,0.0,Gonzalo Medina,2,903,1,0.0,900,0,900,Both researchers have similar multi-dimensional scores (composite ranks #1 vs #1). Who has greater citation impact and influence?
24,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",R. Gur,141,4,1,0.0,Zhi Zhang,11,542,1,0.0,538,0,538,Both researchers have similar multi-dimensional scores (composite ranks #1 vs #1). Who has greater citation impact and influence?
25,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Albert Villanova del Moral,17,405,1,0.0,Aditya Koli,1,945,1,0.0,540,0,540,Both researchers have similar multi-dimensional scores (composite ranks #1 vs #1). Who has greater citation impact and influence?
26,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Yann LeCun,132,5,1,0.0,Shankai Yan,8,635,1,0.0,630,0,630,Both researchers have similar multi-dimensional scores (composite ranks #1 vs #1). Who has greater citation impact and influence?
27,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",W. Bruce Croft,125,6,1,0.0,Jie Ma,8,635,1,0.0,629,0,629,Both researchers have similar multi-dimensional scores (composite ranks #1 vs #1). Who has greater citation impact and influence?
28,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Francesco Barbieri,13,473,1,0.0,H. Khan,1,945,1,0.0,472,0,472,Both researchers have similar multi-dimensional scores (composite ranks #1 vs #1). Who has greater citation impact and influence?
29,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",André F. T. Martins,18,385,1,0.0,Ilana Heinz,1,945,1,0.0,560,0,560,Both researchers have similar multi-dimensional scores (composite ranks #1 vs #1). Who has greater citation impact and influence?
30,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Yuqi Si,13,473,1,0.0,Lotem Peled-Cohen,1,945,1,0.0,472,0,472,Both researchers have similar multi-dimensional scores (composite ranks #1 vs #1). Who has greater citation impact and influence?
31,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Junyuan Xie,22,306,1,0.0,Hayley Ross,1,945,1,0.0,639,0,639,Both researchers have similar multi-dimensional scores (composite ranks #1 vs #1). Who has greater citation impact and influence?
32,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Luke Zettlemoyer,111,7,1,0.0,Shenyu Xu,6,704,1,0.0,697,0,697,Both researchers have similar multi-dimensional scores (composite ranks #1 vs #1). Who has greater citation impact and influence?
33,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",E. Konen,31,202,1,0.0,Yiyun Zhou,1,945,1,0.0,743,0,743,Both researchers have similar multi-dimensional scores (composite ranks #1 vs #1). Who has greater citation impact and influence?
34,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Noah A. Smith,109,8,1,0.0,Jonas Golde,4,809,1,0.0,801,0,801,Both researchers have similar multi-dimensional scores (composite ranks #1 vs #1). Who has greater citation impact and influence?
35,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",H. Krumholz,106,9,1,0.0,Shijie Chen,6,704,1,0.0,695,0,695,Both researchers have similar multi-dimensional scores (composite ranks #1 vs #1). Who has greater citation impact and influence?
36,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",A. Schwaighofer,21,321,1,0.0,David Barry,1,945,1,0.0,624,0,624,Both researchers have similar multi-dimensional scores (composite ranks #1 vs #1). Who has greater citation impact and influence?
37,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",J. Weston,106,9,1,0.0,J. Posada,2,903,1,0.0,894,0,894,Both researchers have similar multi-dimensional scores (composite ranks #1 vs #1). Who has greater citation impact and influence?
38,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Thomas Wolf,16,418,1,0.0,Thibault Goehringer,1,945,1,0.0,527,0,527,Both researchers have similar multi-dimensional scores (composite ranks #1 vs #1). Who has greater citation impact and influence?
39,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",E. Cambria,104,11,1,0.0,Karan Jain,4,809,1,0.0,798,0,798,Both researchers have similar multi-dimensional scores (composite ranks #1 vs #1). Who has greater citation impact and influence?
40,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Dan Jurafsky,104,11,1,0.0,M. S. Hussain,5,764,1,0.0,753,0,753,Both researchers have similar multi-dimensional scores (composite ranks #1 vs #1). Who has greater citation impact and influence?
41,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",K. Kavukcuoglu,74,30,1,0.0,Qiong Wang,1,945,1,0.0,915,0,915,Both researchers have similar multi-dimensional scores (composite ranks #1 vs #1). Who has greater citation impact and influence?
42,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Bing Qin,45,102,1,0.0,Thanathip Suntorntip,1,945,1,0.0,843,0,843,Both researchers have similar multi-dimensional scores (composite ranks #1 vs #1). Who has greater citation impact and influence?
