text,label,labels,original_index,predicted_label,predicted_numeric,confidence,correct,prob_neutral,prob_positive,prob_negative
"3.2 Wall Street Journal Our out-of-domain data is the Wall Street Journal (WSJ) portion of the Penn Treebank (Marcus et al. , 1993) which consists of about 40,000 sentences (one million words) annotated with syntactic information",o,0,10,o,0,0.80412036,True,0.80412036,0.18171586,0.014163758
"By contrast, in the training method proposed by (Jansche, 2005), the discriminative function f(x;w) is estimated to maximize the F 1 -score of training dataset D. This training method employs an approximate form of the F 1 -score obtained by using a logistic function",o,0,11,o,0,0.91371745,True,0.91371745,0.068897605,0.017384993
"Turney (2002) predicates the sentiment orientation of a review by the average semantic orientation of the phrases in the review that contain adjectives or adverbs, which is denoted as the semantic oriented method",o,0,12,o,0,0.9705245,True,0.9705245,0.024481189,0.0049943402
"The traditional method of evaluating similarity in a semantic network by measuring the path length between two nodes (Lee et al. , 1993; Rada et al. , 1989) also captures this, albeit indirectly, when the semantic network is just an IS-A hierarchy: if the minimal path of IS-A links between two nodes is long, that means it is necessary to go high in the taxonomy, to more abstract concepts, in order to find their least upper bound",o,0,13,o,0,0.7922893,True,0.7922893,0.095367625,0.112343095
"These lists are rescored with the different models described above, a character penalty, and three different features based on IBM Models 1 and 2 (Brown et al. , 1993) calculated in both translation directions",o,0,14,o,0,0.9481082,True,0.9481082,0.041723125,0.01016868
"In other words, learning with L1 regularization naturally has an intrinsic effect of feature selection, which results in an 97 efficient and interpretable inference with almost the same performance as L2 regularization (Gao et al., 2007)",o,0,15,o,0,0.5120114,True,0.5120114,0.36324778,0.12474074
"Bean and Riloff (2004) used bootstrapping to extend their semantic compatibility model, which they called contextual-role knowledge, by identifying certain cases of easily-resolved anaphors and antecedents",o,0,16,o,0,0.954738,True,0.954738,0.040951528,0.0043104677
"5 The Experimental Results We used the Penn Treebank WSJ corpus (Marcus et al. , 1993) to perform empirical experiments on the proposed parsing models",o,0,17,o,0,0.96608144,True,0.96608144,0.027939325,0.0059792027
"POS disambiguation has usually been performed by statistical approaches, mainly using the hidden Markov model (HMM) in English research communities (Cutting et al. 1992; Kupiec 1992; Weischedel et al. 1993)",o,0,18,o,0,0.84051424,True,0.84051424,0.15685204,0.002633698
"Feature selection methods have been proposed in the maximum-entropy literature by several authors (Ratnaparkhi, Roukos, and Ward 1994; Berger, Della Pietra, and Della Pietra 1996; Della Pietra, Della Pietra, and Lafferty 1997; Papineni, Roukos, and Ward 1997, 1998; McCallum 2003; Zhou et al. 2003; Riezler and Vasserman 2004)",o,0,19,o,0,0.94074446,True,0.94074446,0.055106584,0.004148901
"Among the most widely studied is the Gibbs distribution (Mark, Miller, and Grenander 1996; Mark et al. 1996; Mark 1997; Abney 1997)",o,0,20,p,1,0.9223238,False,0.07039642,0.9223238,0.007279772
"For a detailed introduction to IBM translation models, please see (Brown et al. , 1993)",o,0,21,o,0,0.92556363,True,0.92556363,0.065494455,0.008941957
"In the field of statistical analysis of natural language data, it is common to use measures of lexical association, such as the informationtheoretic measure of mutual information, to extract useful relationships between words (e.g. Church and Hanks (1990))",o,0,22,o,0,0.7963926,True,0.7963926,0.2001832,0.0034242196
"Other statistical systems that address word classification probleans do not emphasize the use of linguistic knowledge and do not deal with a specific word class\[Brown et al. , 1992\], or do not exploit as much linguistic knowledge as we do \[Pereira et al. , 1993\]",n,2,23,n,2,0.5576354,True,0.40282816,0.039536368,0.5576354
"Despite the above differences, since the theorems of convergence and their proof (Collins, 2002) are only dependent on the feature vectors, and not on the source of the feature definitions, the perceptron algorithm is applicable to the training of our CWS model",o,0,24,o,0,0.88976735,True,0.88976735,0.07029003,0.039942637
"al. 2003b) 147 is (B)eginning, (I)nside or (O)utside of a chunk (Ramshaw & Marcus, 1995)",o,0,25,o,0,0.9689397,True,0.9689397,0.026886053,0.004174259
arpuat and Wu (2007) and Chan et a,o,0,26,o,0,0.9485502,True,0.9485502,0.04648202,0.0049678227
"Although the relative success of previous disambiguation systems (e.g. Yarowsky, 1995) suggests that this should be the case, the effect has usually not been quantified as the emphasis was on a task-based evaluation",p,1,27,n,2,0.8687606,False,0.09605776,0.03518165,0.8687606
"The agreement on identifying the boundaries of units, using the AK statistic discussed in (Carletta, 1996), was AK BP BMBL (for two annotators and 500 units); the agreement on features(2 annotators and at least 200 units) was follows: Attribute AK Value utype .76 verbed .9 finite .81 subject .86 NPs Our instructions for identifying NP markables derive from those proposed in the MATE project scheme for annotating anaphoric relations (Poesio et al. , 1999)",o,0,28,o,0,0.9696982,True,0.9696982,0.025267625,0.00503414
"4 Method-2: Simple Chunk-based Extraction To overcome the shortcomings of the Brill tagger in identifying particles, we next look to full chunk 2Note, this is the same as the maximum span length of 5 used by Smadja (1993), and above the maximum attested NP length of 3 from our corpus study (see Section 2.2)",o,0,29,o,0,0.77958035,True,0.77958035,0.09077329,0.12964636
"Arguably the most widely used is the mutual information (Hindle, 1990; Church and Hanks, 1990; Dagan et al. , 1995; Luk, 1995; D. Lin, 1998a)",p,1,30,p,1,0.92482656,True,0.056332204,0.92482656,0.018841306
urney (2002) suggested comparing the frequency of phrase co-occurrences with words predetermined by the sentiment lexico,o,0,31,o,0,0.9666195,True,0.9666195,0.026867548,0.0065130307
"This situation is very similar to that involved in training HMM text taggers, where joint probabilities are computed that a particular word corresponds to a particular part-ofspeech, and the rest of the words in the sentence are also generated (e.g. \[Cutting et al. , 1992\])",o,0,32,o,0,0.95812386,True,0.95812386,0.036503162,0.0053729834
"the Wall Street Journal (WSJ) sections of the Penn Treebank (Marcus et al., 1993) as training set, tests on BROWN Sections typically result in a 6-8% drop in labeled attachment scores, although the average sentence length is much shorter in BROWN than that in WSJ",o,0,33,o,0,0.7662533,True,0.7662533,0.07866085,0.15508582
"(owenOcogentex.com) 1 Introduction Dependency grammar has a long tradition in syntactic theory, dating back to at least Tesni~re's work from the thirties3 Recently, it has gained renewed attention as empirical methods in parsing are discovering the importance of relations between words (see, e.g., (Collins, 1997)), which is what dependency grammars model explicitly do, but context-free phrasestructure grammars do not",o,0,34,o,0,0.78371507,True,0.78371507,0.18161468,0.034670234
"Feature comparison measures: to convert two feature sets into a scalar value, several measures have been proposed, such as cosine, Lins measure (Lin, 1998), Kullback-Leibler (KL) divergence and its variants",o,0,35,o,0,0.94344646,True,0.94344646,0.053643063,0.0029103975
larke and Lapata (2007) included discourse level features in their framework to leverage context for enhancing coherenc,o,0,36,o,0,0.9607743,True,0.9607743,0.03337731,0.005848452
"They were based on mutual information (Church & Hanks, 1989), conditional probabilities (Rapp, 1996), or on some standard statistical tests, such as the chi-square test or the loglikelihood ratio (Dunning, 1993)",p,1,37,o,0,0.9665083,False,0.9665083,0.029278802,0.004212865
"Since this trade-off is also affected by the settings of various pruning parameters, we compared decoding time and translation quality, as measured by BLEU score (Papineni et al, 2002), for the two models on our first test set over a broad range of settings for the decoder pruning parameters",o,0,38,o,0,0.9611831,True,0.9611831,0.029539932,0.009277016
"3.1 Phrase-Based Models According to the translation model presented in (Koehn et al. , 2003), given a source sentence f, the best target translation can be obtained using the following model best e 288 )( )()(maxarg )(maxarg | | e e e eef fee length LM best pp p = = (1) Where the translation model can be decomposed into )( | efp  =  = I i i iii i i II aefpbadef efp 1 1 1 1 ),|()()|( )|(   w (2) Where )|( i i ef is the phrase translation probability",o,0,39,o,0,0.93768483,True,0.93768483,0.057087533,0.0052276445
"For evaluation, we used the BLEU metrics, which calculates the geometric mean of n-gram precision for the MT outputs found in reference translations (Papineni et al. , 2002)",o,0,40,o,0,0.96522063,True,0.96522063,0.02942958,0.00534972
"David McClosky, Eugene Charniak, and Mark Johnson Brown Laboratory for Linguistic Information Processing (BLLIP) Brown University Providence, RI 02912 {dmcc|ec|mj}@cs.brown.edu Abstract Self-training has been shown capable of improving on state-of-the-art parser performance (McClosky et al., 2006) despite the conventional wisdom on the matter and several studies to the contrary (Charniak, 1997; Steedman et al., 2003)",p,1,41,p,1,0.71289665,True,0.19468111,0.71289665,0.09242225
"For a full description of the algorithm, see (Collins, 2002a)",o,0,42,o,0,0.95575774,True,0.95575774,0.037656125,0.0065861265
"SMT Team (2003) also used minimum error training as in Och (2003), but used a large number of feature functions",o,0,43,o,0,0.7031942,True,0.7031942,0.089619644,0.20718616
"We use the following features for our rules:  sourceand target-conditioned neg-log lexical weights as described in (Koehn et al. , 2003b)  neg-log relative frequencies: left-handside-conditioned, target-phrase-conditioned, source-phrase-conditioned  Counters: n.o. rule applications, n.o. target words  Flags: IsPurelyLexical (i.e. , contains only terminals), IsPurelyAbstract (i.e. , contains only nonterminals), IsXRule (i.e. , non-syntactical span), IsGlueRule 139  Penalties: rareness penalty exp(1  RuleFrequency); unbalancedness penalty |MeanTargetSourceRatio  n.o. source words n.o. target words| 4 Parsing Our SynCFG rules are equivalent to a probabilistic context-free grammar and decoding is therefore an application of chart parsing",o,0,44,o,0,0.9659498,True,0.9659498,0.030673673,0.0033765747
"These dependencies differ from those used by Liu and Gildea (2005), in that they are extracted according to the rules of the LFG grammar and they are labelled with a type of grammatical relation that connects the head and the modifier, such as subject, determiner, etc. The presence of grammatical relation labels adds another layer of important linguistic information into the comparison and allows us to account for partial matches, for example when a lexical item finds itself in a correct relation but with an incorrect partner",o,0,45,o,0,0.8584329,True,0.8584329,0.11675916,0.024807926
"3.5 Domain adaptation in Machine Translation Within MT there has been a variety of approaches dealing with domain adaption (for example (Wu et al., 2008; Koehn and Schroeder, 2007)",o,0,46,o,0,0.9060947,True,0.9060947,0.08845409,0.005451346
"Therefore, whenever we have access to a large amount of labeled data from some source (out-of-domain), but we would like a model that performs well on some new target domain (Gildea, 2001; Daume III, 2007), we face the problem of domain adaptation",o,0,47,o,0,0.61373556,True,0.61373556,0.13640901,0.24985543
"Collocations have been widely used for tasks such as word sense disambiguation (WSD) (Yarowsky, 1995), information extraction (IE) (Riloff, 1996), and named-entity recognition (Collins and Singer, 1999)",o,0,48,p,1,0.8528567,False,0.14477111,0.8528567,0.0023722192
"Many statistical metrics have been proposed, including pointwise mutual information (MI) (Church et al, 1990), mean and variance, hypothesis testing (t-test, chisquare test, etc.), log-likelihood ratio (LR) (Dunning, 1993), statistic language model (Tomokiyo, et al, 2003), and so on",o,0,49,o,0,0.93909955,True,0.93909955,0.05813076,0.0027697294
"Some of the more popular and more accurate of these approaches to data-driven parsing (Charniak, 2000; Collins, 1997; Klein and Manning, 2002) have been based on generative models that are closely related to probabilistic contextfree grammars",p,1,50,p,1,0.93394977,True,0.060431324,0.93394977,0.005618931
"421 Teufel and Moens Summarizing Scientific Articles We use the kappa coefficient K (Siegel and Castellan 1988) to measure stability and reproducibility, following Carletta (1996)",o,0,51,o,0,0.9567367,True,0.9567367,0.03983298,0.0034303723
"These methods have been used in machine translation (Brown et al. , 1990; Sadler, 1989), terminology research and translation aids (Isabelle, 1992; Ogden and Gonzales, 1993), bilingual lexicography (Klavans and Tzoukermann, 1990), collocation studies (Smadja, 1992), word-sense disambiguation (Brown et al. , 1991b; Gale et al. , 1992) and information retrieval in a multilingual environment (Landauer and Littman, 1990)",o,0,52,o,0,0.94180447,True,0.94180447,0.055791736,0.002403905
"A synchronous 363 binarization method is proposed in (Zhang et al., 2006) whose basic idea is to build a left-heavy binary synchronous tree (Shapiro and Stephens, 1991) with a left-to-right shift-reduce algorithm",o,0,53,o,0,0.9574905,True,0.9574905,0.038753595,0.003755796
"Specifically, three features are used to instantiate the templates:  POS tags on both sides: We assign POS tags using the MXPOST tagger (Ratnaparkhi, 1996) for English and Chinese, and Connexor for Spanish",o,0,54,o,0,0.9631113,True,0.9631113,0.034352433,0.002536324
"For example, the Penn Treebank (Marcus et al. , 1993) was annotated with skeletal syntactic structure, and many syntactic parsers were evaluated and compared on the corpus",o,0,55,o,0,0.9590145,True,0.9590145,0.03526629,0.00571924
"1 Introduction The emergence of phrase-based statistical machine translation (PSMT) (Koehn et al., 2003) has been one of the major developments in statistical approaches to translation",p,1,56,p,1,0.94166744,True,0.055539016,0.94166744,0.0027936238
"C0,C,q  1,q xq xq1 xq1 xq xr xr+1 Table 6: Lexicalized Features for Joint Models aging of the weights suggested by (Collins, 2002)",o,0,57,o,0,0.9672926,True,0.9672926,0.027393125,0.00531429
"Regarding error detection in corpora, Ratnaparkhi (1996) discusses inconsistencies in the Penn Treebank and relates them to interannotator differences in tagging style",o,0,58,o,0,0.9599918,True,0.9599918,0.031329542,0.008678685
"This linear model is learned using a variant of the incremental perceptron algorithm (Collins and Roark, 2004; Daume and Marcu, 2005)",o,0,59,o,0,0.96877843,True,0.96877843,0.0273917,0.0038298776
"A similar approach is used here, including a collapsed version of the Treebank POS tag set (Marcus et al., 1993), with additions for specific words (e.g. personal pronouns and filled pause markers), compound punctuation (e.g. multiple exclamation marks), and a general emoticon tag, resulting in a total of 41 tags",o,0,60,o,0,0.95387644,True,0.95387644,0.039715108,0.006408367
"MI is defined in general as follows: y) I ix y) = log2 P(x) P(y) We can use this definition to derive an estimate of the connectedness between words, in terms of collocations (Smadja, 1993), but also in terms of phrases and grammatical relations (Hindle, 1990)",o,0,61,o,0,0.95922756,True,0.95922756,0.035222497,0.0055499263
"Mutual information compares the probability of the co-occurence of words a and b with the independent probabilities of occurrence of a and b (Church and Hanks, 1990)",o,0,62,o,0,0.95793825,True,0.95793825,0.030777842,0.0112839015
"The parser is coupled with an on-line averaged perceptron (Collins, 2002) as the learning method",o,0,63,o,0,0.9570244,True,0.9570244,0.039820645,0.0031549893
"As expected, we see that MST does better than Malt for all categories except nouns and pronouns (McDonald and Nivre, 2007)",o,0,64,n,2,0.5361348,False,0.31967208,0.14419307,0.5361348
"However, as Categorial Grammar formalisms do not usually change the lexical entries of words to deal with movement, but use further rules (Wood, 1993; Steedman, 1993; Hockenmaier et al. , 2000), the lexicons learned here will be valid over corpora with movement",o,0,65,o,0,0.8976898,True,0.8976898,0.056085393,0.04622478
"Wu (1997) demonstrated that for pairs of sentences that are less than 16 words, the ITG alignment space has a good coverage over all possibilities",o,0,66,o,0,0.60966796,True,0.60966796,0.29720098,0.0931311
"The recent approach for editing extracted text spans (Jing and McKeown, 2000) may also produce improvement for our algorithm",p,1,67,p,1,0.66719776,True,0.3038291,0.66719776,0.028973099
"138 2 Rule Generation We start with phrase translations on the parallel training data using the techniques and implementation described in (Koehn et al. , 2003a)",o,0,68,o,0,0.9668309,True,0.9668309,0.029854847,0.0033142865
"Translation quality is reported using case-insensitive BLEU (Papineni et al., 2002)",o,0,69,o,0,0.96795523,True,0.96795523,0.027947424,0.0040973565
"distance (MSD) and the maximum swap segment size (MSSS) ranging from 0 to 10 and evaluated the translations with the BLEU7 metric (Papineni et al. , 2002)",o,0,70,o,0,0.96516585,True,0.96516585,0.029206028,0.005628082
"The word alignments were created with Giza++ (Och and Ney, 2003) applied to a parallel corpus containing the complete Europarl training data, plus sets of 4,051 sentence pairs created by pairing the test sentences with the reference translations, and the test sentences paired with each of the system translations",o,0,71,o,0,0.9680577,True,0.9680577,0.02843736,0.003505026
he idea of tracing polarity through adjective cooccurrence is adopted by Turney (2002) for the binary (positive and negative) classification of text review,o,0,72,o,0,0.9611324,True,0.9611324,0.035686668,0.0031809334
"For a class bigram model, find  : V --+ C to maximize ~(T) = ~I/L=I p(wi I(wl))p((wi)l(wi-1)))) Alternatively, perplexity (Jardino an d Adda, 1993) or average mutual information (Brown et al. , 1992) can be used as the characteristic value for optimization",o,0,73,o,0,0.9623403,True,0.9623403,0.032948073,0.004711622
"The publicly available Moses4 decoder is used for training and decoding (Koehn and Hoang, 2007)",o,0,74,o,0,0.83130103,True,0.83130103,0.16273654,0.0059625125
"Some of them have been fully tested in real size texts (e.g. statistical methods (Yarowsky, 1992), (Yarowsky, 1994), (Miller and Teibel, 1991), knowledge based methods (Sussna, 1993), (Agirre and Rigau, 1996), or mixed methods (Richardson et al. , 1994), (Resnik, 1995))",o,0,75,o,0,0.54834706,True,0.54834706,0.43974954,0.011903474
"4.2 Data The data comes from the CoNLL 2000 shared task (Sang and Buchholz, 2000), which consists of sentences from the Penn Treebank Wall Street Journal corpus (Marcus et al. , 1993)",o,0,76,o,0,0.9710298,True,0.9710298,0.024891809,0.0040783845
"The problem is that with such a definition of collocations, even when improved, one identifies not only collocations but freecombining pairs frequently appearing together such as lawyer-client; doctor-hospital, as pointed out by Smadja (1993)",o,0,77,o,0,0.60883564,True,0.60883564,0.12000398,0.2711604
"Our method is a natural extension of those proposed in (Brown et al. , 1992) and (Li and Abe, 1996), and overcomes their drawbacks while retaining their advantages",n,2,78,o,0,0.4283547,False,0.4283547,0.41578424,0.15586111
"Since it loosely links the two sentences syntactic structures, QG is well suited for problems like word alignment for MT (Smith and Eisner, 2006) and question answering (Wang et al., 2007)",o,0,79,p,1,0.5268081,False,0.44840798,0.5268081,0.024783935
"Many-to-many word alignments are induced by running a one-to-many word alignment model, such as GIZA++ (Och and Ney, 2003), in both directions and by combining the results based on a heuristic (Koehn et al. , 2003)",o,0,80,o,0,0.95913386,True,0.95913386,0.03764182,0.0032243074
"(Yarowsky, 1995) reports a success rate of 96% disambiguating twelve words with two clear sense distinctions each one)",o,0,81,p,1,0.59030217,False,0.30925003,0.59030217,0.100447826
"We implement this algorithm using the perceptron framework, as it can be easily modified for structured prediction while preserving convergence guarantees (Daume III and Marcu, 2005; Snyder and Barzilay, 2007)",o,0,82,o,0,0.77224624,True,0.77224624,0.18850929,0.0392445
"(1992b) has proved to be a simple yet powerful observation and has been successfully used in word sense disambiguation (WSD) and related tasks (e.g., Yarowsky (1995); Agirre and Rigau The author was partially funded by GALE DARPA Contract No",p,1,83,p,1,0.813669,True,0.18226469,0.813669,0.004066268
"Syntax-based MT approaches began with Wu (1997), who introduced the Inversion Transduction Grammars",o,0,84,o,0,0.9527704,True,0.9527704,0.04296978,0.004259781
"The progress in parsing technology are noteworthy, and in particular, various statistical dependency models have been proposed(Collins, 1997),, (Ratnaparkhi, 1997), (Charniak, 2000)",o,0,85,p,1,0.88886166,False,0.09986152,0.88886166,0.011276874
"In marked contrast to annotated training material for partof-speech tagging, (a) there is no coarse-level set of sense distinctions widely agreed upon (whereas part-of-speech tag sets tend to differ in the details); (b) sense annotation has a comparatively high error rate (Miller, personal communication, reports an upper bound for human annotators of around 90% for ambiguous cases, using a non-blind evaluation method that may make even this estimate overly optimistic); and (c) no fully automatic method provides high enough quality output to support the """"annotate automatically, correct manually"""" methodology used to provide high volume annotation by data providers like the Penn Treebank project (Marcus et al. , 1993)",o,0,86,o,0,0.44380742,True,0.44380742,0.33150494,0.2246877
"Indeed, researchers have shown that gigantic language models are key to state-ofthe-art performance (Brants et al., 2007), and the ability of phrase-based decoders to handle large-size, high-order language models with no consequence on asymptotic running time during decoding presents a compelling advantage over CKYdecoders,whosetimecomplexitygrowsprohibitively large with higher-order language models",p,1,87,p,1,0.78141534,True,0.18357448,0.78141534,0.035010155
"1 Introduction Large scale annotated corpora such as the Penn TreeBank (Marcus et al. , 1993) have played a central role in speech and natural language research",p,1,88,p,1,0.8930226,True,0.10433838,0.8930226,0.0026389817
atnaparkhi 1996,o,0,89,o,0,0.9453211,True,0.9453211,0.04488074,0.009798102
"1 Motivation Statistical part-of-speech disambiguation can be efficiently done with n-gram models (Church, 1988; Cutting et al. , 1992)",p,1,90,p,1,0.7360509,True,0.23721693,0.7360509,0.026732221
"There has of course been a large amount of work on the more general problem of word-sense disambiguation, e.g., (Yarowsky 1995) (Kilgarriff and Edmonds 2002)",o,0,91,o,0,0.5998434,True,0.5998434,0.38540155,0.014755124
"We made use of the same data set as introduced in (Cong et al., 2008; Ding et al., 2008)",o,0,92,o,0,0.93852794,True,0.93852794,0.057854757,0.0036172674
"These alignment models stem from the source-channel approach to statistical machine translation (Brown et al. , 1993)",o,0,93,o,0,0.95280176,True,0.95280176,0.042227592,0.0049706344
"This is analogous, and in a certain sense equivalent, to empirical risk minimization, which has been used successfully in related areas, such as speech recognition (Rahim and Lee, 1997), language modeling (Paciorek and Rosenfeld, 2000), and machine translation (Och, 2003)",o,0,94,p,1,0.8870523,False,0.10724447,0.8870523,0.0057032085
"203 Estimating the parameters for these models is more difficult (and more computationally expensive) than with the models considered in the previous section: rather than simply being able to count the word pairs and alignment relationships and estimate the models directly, we must use an existing model to compute the expected counts for all possible alignments, and then use these counts to update the new model.7 This training strategy is referred to as expectationmaximization (EM) and is guaranteed to always improve the quality of the prior model at each iteration (Brown et al., 1993; Dempster et al., 1977)",o,0,95,o,0,0.59916234,True,0.59916234,0.18053915,0.22029847
"The use of such relations (mainly relations between verbs or nouns and their arguments and modifiers) for various purposes has received growing attention in recent research (Church and Hanks, 1990; Zernik and Jacobs, 1990; Hindle, 1990)",o,0,96,o,0,0.55375135,True,0.55375135,0.4427844,0.0034642532
"In addition, the semi-supervised Morce performs (on single CPU and development data set) 77 times faster than the combination and 23 times faster than (Shen et al., 2007)",n,2,97,n,2,0.74987364,True,0.20148113,0.048645202,0.74987364
"To solve this problem, we will adapt the idea of null generated words from machine translation (Brown et al. , 1993)",o,0,98,o,0,0.92208546,True,0.92208546,0.07386388,0.004050756
"This corpus-based information typically concerns sequences of 1-3 tags or words (with some well-known exceptions, e.g. Cutting et al. 1992)",o,0,99,p,1,0.7703438,False,0.22222109,0.7703438,0.007435099
"Following the phrase extraction phase in PHARAOH, we eliminate word gaps by incorporating unaligned words as part of the extracted NL phrases (Koehn et al. , 2003)",o,0,100,o,0,0.9472393,True,0.9472393,0.045031894,0.0077288337
"The significance values are obtained using the loglikelihood measure assuming a binomial distribution for the unrelatedness hypothesis (Dunning, 1993)",o,0,101,o,0,0.9716974,True,0.9716974,0.023623632,0.0046791052
"According to Carletta (1996), K measures pairwise agreement among a set of coders making category judgments, correcting for expected chance agreement as follows: KP(A) -P(E) 1 -P(E) where P(A) is the proportion of times that the coders agree and P(E) is the proportion of times that they would be expected to agree by chance",o,0,102,o,0,0.9668551,True,0.9668551,0.027744101,0.0054008085
"2.3 Probabilistic models for generation with HPSG Some existing studies on probabilistic models for HPSG parsing (Malouf and van Noord, 2004; Miyao and Tsujii, 2005) adopted log-linear models (Berger et al. , 1996)",o,0,103,o,0,0.9573065,True,0.9573065,0.038577426,0.004116095
"The Attr cells summarize the performance of the 6 models on the wiki table that are based on attributional similarity only (Turney, 2006)",o,0,104,o,0,0.93598133,True,0.93598133,0.054842632,0.009176037
 Introduction Bilingual word alignment is first introduced as an intermediate result in statistical machine translation (SMT) (Brown et al. 1993,o,0,105,o,0,0.93584317,True,0.93584317,0.060413554,0.0037432848
"Some existing resources contain lists of subjective words (e.g. , Levins desire verbs (1993)), and some empirical methods in NLP have automatically identified adjectives, verbs, and N-grams that are statistically associated with subjective language (e.g. , (Turney, 2002; Hatzivassiloglou and McKeown, 1997; Wiebe, 2000; Wiebe et al. , 2001))",o,0,106,o,0,0.9523509,True,0.9523509,0.042582814,0.0050662733
"The proposed synchronous grammar is able to cover the previous proposed grammar based on tree (STSG, Eisner, 2003; Zhang et al, 2007) and tree sequence (STSSG, Zhang et al, 2008a) alignment",o,0,107,o,0,0.8952944,True,0.8952944,0.06141839,0.043287147
"(2006) and Jansche (2005), who discuss maximum expected F-score training of decision trees and logistic regression models",o,0,108,o,0,0.8898725,True,0.8898725,0.08684925,0.023278343
"With the in-depth study of opinion mining, researchers committed their efforts for more accurate results: the research of sentiment summarization (Philip et al., 2004; Hu et al., KDD 2004), domain transfer problem of the sentiment analysis (Kanayama et al., 2006; Tan et al., 2007; Blitzer et al., 2007; Tan et al., 2008; Andreevskaia et al., 2008; Tan et al., 2009) and finegrained opinion mining (Hatzivassiloglou et al., 2000; Takamura et al., 2007; Bloom et al., 2007; Wang et al., 2008; Titov et al., 2008) are the main branches of the research of opinion mining",p,1,109,o,0,0.6078956,False,0.6078956,0.37305352,0.019050866
"One of the most successful metrics for judging machine-generated text is BLEU (Papineni et al. , 2002)",p,1,110,p,1,0.92372507,True,0.060688745,0.92372507,0.015586157
"Similar to BLEU score, we also use the similar Brevity Penalty BP (Papineni et al., 2002) to penalize the short translations in computing RAcc",o,0,111,o,0,0.9577459,True,0.9577459,0.03595651,0.006297599
"The second attempts to instill knowledge of collocations in the data; we use the technique described by (Dunning, 1993) to compute multi-word expressions and then mark words that are commonly used as such with a feature that expresses this fact",o,0,112,o,0,0.9439128,True,0.9439128,0.052682936,0.003404281
"A broad view of the possible scope of lexical semantics would thus be one which tries to chart out the systematic, generalizable aspects of word meanings, and of the relations between words, drawing on readily accessible sources of lexical knowledge, such as machine readable dictionaries, encyclopedias, and representative corpora, coupled with the kind of analytic apparatus that is needed to fruitfully explore such sources, for instance custom-built parsers to cope with dictionary definitions (Vossen 1990), statistical programs to deal with the distributional properties of lexical items in large corpora (Church & Hanks 1990) etc. At the same time this kind of massive data-acquisition should be made sensitive to the borders between perceptual experience, lexical knowledge and expert knowledge",o,0,113,o,0,0.7733339,True,0.7733339,0.1984147,0.02825133
